key	ru	de	es	fr	fi
You can keep going. Preparation continues while Murmator is open.	Можно продолжить. Подготовка идёт, пока Murmator открыт.	Du kannst fortfahren. Die Vorbereitung läuft weiter, solange Murmator geöffnet ist.	Puedes continuar. La preparación sigue mientras Murmator esté abierto.	Vous pouvez continuer. La préparation se poursuit tant que Murmator reste ouvert.	Voit jatkaa. Valmistelu jatkuu Murmatorin ollessa avoinna.
Prepare when it suits you	Подготовь, когда удобно	Vorbereiten, wenn es dir passt	Prepara cuando te convenga	Préparez quand vous voulez	Valmistele kun sinulle sopii
Nothing to download right now? Continue to your notes. Language packs can be added in Settings at any time.	Не хочешь скачивать сейчас? Переходи к заметкам. Языковые пакеты можно добавить в настройках в любое время.	Jetzt nichts herunterladen? Weiter zu deinen Notizen. Sprachpakete kannst du jederzeit in den Einstellungen hinzufügen.	¿No quieres descargar ahora? Continúa a tus notas. Puedes añadir idiomas en Ajustes cuando quieras.	Rien à télécharger maintenant ? Accédez à vos notes. Les packs de langues peuvent être ajoutés à tout moment dans Réglages.	Etkö halua ladata nyt? Jatka muistiinpanoihin. Kielipaketteja voi lisätä Asetuksissa milloin tahansa.
Speech engines are tested on a physical iPhone. This simulator only tests the interface.	Движки речи проверяются на настоящем iPhone. Этот симулятор проверяет только интерфейс.	Sprachmodelle werden auf einem echten iPhone getestet. Dieser Simulator testet nur die Oberfläche.	Los motores de voz se prueban en un iPhone físico. Este simulador solo prueba la interfaz.	Les moteurs vocaux sont testés sur un iPhone physique. Ce simulateur ne teste que l’interface.	Puhemoottorit testataan oikealla iPhonella. Tämä simulaattori testaa vain käyttöliittymää.
Preparing dictation	Подготовка диктовки	Diktat vorbereiten	Preparando dictado	Préparation de la dictée	Valmistellaan sanelua
Preparing live text	Подготовка текста в реальном времени	Live-Text vorbereiten	Preparando texto en directo	Préparation du texte en direct	Valmistellaan reaaliaikaista tekstiä
Preparing offline dictation	Подготовка офлайн-диктовки	Offline-Diktat vorbereiten	Preparando dictado sin conexión	Préparation de la dictée hors ligne	Valmistellaan offline-sanelua
Could not prepare this language. Please try again.	Не удалось подготовить этот язык. Попробуй ещё раз.	Diese Sprache konnte nicht vorbereitet werden. Versuche es erneut.	No se pudo preparar este idioma. Inténtalo de nuevo.	Impossible de préparer cette langue. Réessayez.	Tämän kielen valmistelu epäonnistui. Yritä uudelleen.
Could not prepare translation for these languages. Please try again.	Не удалось подготовить перевод для этих языков. Попробуй ещё раз.	Die Übersetzung für diese Sprachen konnte nicht vorbereitet werden. Versuche es erneut.	No se pudo preparar la traducción para estos idiomas. Inténtalo de nuevo.	Impossible de préparer la traduction pour ces langues. Réessayez.	Näiden kielten käännöksen valmistelu epäonnistui. Yritä uudelleen.
Could not refine text. Your draft is still available.	Не удалось уточнить текст. Черновик сохранён на экране.	Der Text konnte nicht verbessert werden. Dein Entwurf bleibt verfügbar.	No se pudo mejorar el texto. Tu borrador sigue disponible.	Impossible d’affiner le texte. Votre brouillon reste disponible.	Tekstiä ei voitu tarkentaa. Luonnos on edelleen käytettävissä.
Could not start dictation. Check microphone access and language downloads.	Не удалось начать диктовку. Проверь доступ к микрофону и загрузку языков.	Das Diktat konnte nicht gestartet werden. Prüfe Mikrofonzugriff und Sprachdownloads.	No se pudo iniciar el dictado. Revisa el permiso del micrófono y las descargas de idiomas.	Impossible de démarrer la dictée. Vérifiez l’accès au microphone et les langues téléchargées.	Sanelua ei voitu aloittaa. Tarkista mikrofonin lupa ja ladatut kielet.
A live draft appears first, then your words are refined.	Сначала появляется черновик, затем текст уточняется.	Zuerst erscheint ein Live-Entwurf, dann wird dein Text verbessert.	Primero aparece un borrador en directo y después se mejora el texto.	Un brouillon apparaît en direct, puis le texte est affiné.	Ensin näkyy reaaliaikainen luonnos, sitten tekstiä tarkennetaan.
Replay setup tour	Повторить знакомство с приложением	Einführung erneut ansehen	Repetir la introducción	Revoir la présentation	Katso esittely uudelleen
A quick translation follows your voice. Completed phrases are then refined before the note is saved.	Быстрый перевод появляется вслед за речью. Завершённые фразы уточняются перед сохранением заметки.	Eine schnelle Übersetzung folgt deiner Stimme. Abgeschlossene Sätze werden vor dem Speichern verbessert.	Una traducción rápida sigue tu voz. Las frases completas se mejoran antes de guardar la nota.	Une traduction rapide suit votre voix. Les phrases terminées sont affinées avant l’enregistrement.	Nopea käännös seuraa puhettasi. Valmiit lauseet tarkennetaan ennen tallennusta.
Translation is not available to download for this language yet.	Перевод для этого языка пока нельзя скачать.	Für diese Sprache ist noch keine Übersetzung zum Download verfügbar.	Aún no se puede descargar la traducción para este idioma.	La traduction n’est pas encore téléchargeable pour cette langue.	Tälle kielelle ei ole vielä ladattavaa käännöstä.
Translation could not be completed. Your original text is kept.	Не удалось завершить перевод. Исходный текст сохранён.	Die Übersetzung konnte nicht abgeschlossen werden. Dein Originaltext bleibt erhalten.	No se pudo completar la traducción. Se conserva el texto original.	La traduction n’a pas pu être terminée. Le texte original est conservé.	Käännöstä ei voitu viimeistellä. Alkuperäinen teksti säilytetään.
Text refined	Текст уточнён	Text verbessert	Texto mejorado	Texte affiné	Teksti tarkennettu
Not downloaded	Не скачано	Nicht geladen	Sin descargar	Non téléchargé	Ei ladattu
Downloading	Скачивание	Wird geladen	Descargando	Téléchargement	Ladataan
Warming up	Прогрев	Aufwärmen	Calentando	Préchauffage	Lämmitetään
Ready offline	Готово офлайн	Offline bereit	Listo sin conexión	Prêt hors ligne	Valmis offline-tilassa
Failed	Ошибка	Fehlgeschlagen	Error	Échec	Epäonnistui
Needs warm-up	Нужен прогрев	Aufwärmen nötig	Necesita calentar	Préchauffage requis	Vaatii lämmityksen
Selecting a language does not download it.	Выбор языка не скачивает его.	Eine Sprache auszuwählen lädt sie nicht herunter.	Elegir un idioma no lo descarga.	Choisir une langue ne la télécharge pas.	Kielen valinta ei lataa sitä.
Retry	Повторить	Wiederholen	Reintentar	Réessayer	Yritä uudelleen
Details	Подробности	Details	Detalles	Détails	Tiedot
Dismiss	Закрыть	Schließen	Cerrar	Fermer	Sulje
Remove	Убрать	Entfernen	Quitar	Retirer	Poista
Reverse direction is a separate pack.	Обратное направление — отдельный пакет.	Die Gegenrichtung ist ein eigenes Paket.	La dirección inversa es otro paquete.	Le sens inverse est un pack distinct.	Vastakkainen suunta on eri paketti.
Add	Добавить	Hinzufügen	Añadir	Ajouter	Lisää
Already added	Уже добавлен	Bereits hinzugefügt	Ya añadido	Déjà ajouté	Jo lisätty
Not supported yet	Пока не поддерживается	Noch nicht unterstützt	Aún no compatible	Pas encore pris en charge	Ei vielä tuettu
Nothing is downloading right now.	Сейчас ничего не скачивается.	Derzeit wird nichts geladen.	Ahora no se descarga nada.	Aucun téléchargement en cours.	Mitään ei ladata juuri nyt.
No notes yet	Заметок пока нет	Noch keine Notizen	Aún no hay notas	Aucune note pour l’instant	Ei vielä muistiinpanoja
Tap the mic and say the first one.	Нажми микрофон и скажи первую.	Tippe aufs Mikrofon und sag die erste.	Toca el micrófono y di la primera.	Touchez le micro et dites la première.	Napauta mikrofonia ja sano ensimmäinen.
No matches	Нет совпадений	Keine Treffer	Sin resultados	Aucun résultat	Ei osumia
Clear search	Очистить поиск	Suche löschen	Borrar búsqueda	Effacer la recherche	Tyhjennä haku
Translation unavailable	Перевод недоступен	Übersetzung nicht verfügbar	Traducción no disponible	Traduction indisponible	Käännös ei käytettävissä
Update translation	Обновить перевод	Übersetzung aktualisieren	Actualizar traducción	Mettre à jour la traduction	Päivitä käännös
Translation may not match the edited text.	Перевод может не совпадать с изменённым текстом.	Die Übersetzung passt möglicherweise nicht zum geänderten Text.	La traducción puede no coincidir con el texto editado.	La traduction peut ne plus correspondre au texte modifié.	Käännös ei ehkä vastaa muokattua tekstiä.
Could not save the note	Не удалось сохранить заметку	Notiz konnte nicht gespeichert werden	No se pudo guardar la nota	Impossible d’enregistrer la note	Muistiinpanoa ei voitu tallentaa
Recovered draft	Восстановленный черновик	Wiederhergestellter Entwurf	Borrador recuperado	Brouillon récupéré	Palautettu luonnos
Advanced	Дополнительно	Erweitert	Avanzado	Avancé	Lisäasetukset
This mode does not support the selected language.	Этот режим не поддерживает выбранный язык.	Dieser Modus unterstützt die gewählte Sprache nicht.	Este modo no admite el idioma elegido.	Ce mode ne prend pas en charge la langue choisie.	Tämä tila ei tue valittua kieltä.
Pack is on the device but not loaded in memory.	Пакет на устройстве, но не загружен в память.	Das Paket liegt auf dem Gerät, ist aber nicht im Speicher.	El paquete está en el dispositivo pero no en memoria.	Le pack est sur l’appareil mais pas en mémoire.	Paketti on laitteella mutta ei muistissa.
Hybrid needs a second model for this language.	Двойному режиму нужен второй комплект для этого языка.	Hybrid braucht für diese Sprache ein zweites Modell.	El modo híbrido necesita un segundo modelo para este idioma.	Le mode hybride nécessite un second modèle pour cette langue.	Hybriditila tarvitsee toisen mallin tälle kielelle.
Import failed	Импорт не удался	Import fehlgeschlagen	Error al importar	Échec de l’import	Tuonti epäonnistui
Choose a folder in Files	Выбрать папку в Файлах	Ordner in Dateien wählen	Elegir carpeta en Archivos	Choisir un dossier dans Fichiers	Valitse kansio Tiedostoissa
Microphone is off	Микрофон выключен	Mikrofon ist aus	El micrófono está desactivado	Le microphone est désactivé	Mikrofoni on pois
Open Settings	Открыть Настройки	Einstellungen öffnen	Abrir Ajustes	Ouvrir Réglages	Avaa Asetukset
Not now	Не сейчас	Nicht jetzt	Ahora no	Plus tard	Ei nyt
Widget & Live Activity	Виджет и Live Activity	Widget und Live-Aktivität	Widget y actividad en vivo	Widget et activité en direct	Widget ja Live Activity
Murmator cannot check this setting from inside the app.	Приложение не может проверить эту настройку.	Die App kann diese Einstellung nicht prüfen.	La app no puede comprobar este ajuste.	L’app ne peut pas vérifier ce réglage.	Sovellus ei voi tarkistaa tätä asetusta.
Insert	Вставить	Einfügen	Insertar	Insérer	Lisää
No saved text yet	Пока нет сохранённого текста	Noch kein gespeicherter Text	Aún no hay texto guardado	Aucun texte enregistré	Ei vielä tallennettua tekstiä
Reading the note is unavailable right now.	Чтение заметки сейчас недоступно.	Die Notiz kann derzeit nicht gelesen werden.	Ahora no se puede leer la nota.	La lecture de la note est indisponible.	Muistiinpanon luku ei ole nyt käytettävissä.
Ready to insert	Готово к вставке	Zum Einfügen bereit	Listo para insertar	Prêt à insérer	Valmis lisättäväksi
This cannot be undone.	Действие нельзя отменить.	Das kann nicht widerrufen werden.	Esta acción no se puede deshacer.	Cette action est irréversible.	Tätä ei voi kumota.
Note deleted	Заметка удалена	Notiz gelöscht	Nota eliminada	Note supprimée	Muistiinpano poistettu
Preparing	Подготовка	Vorbereiten	Preparando	Préparation	Valmistellaan
Downloaded models stay on the device.	Скачанные модели остаются на устройстве.	Geladene Modelle bleiben auf dem Gerät.	Los modelos descargados quedan en el dispositivo.	Les modèles téléchargés restent sur l’appareil.	Ladatut mallit pysyvät laitteella.
Duration is not known in advance.	Длительность заранее неизвестна.	Die Dauer ist vorab nicht bekannt.	La duración no se conoce de antemano.	La durée n’est pas connue à l’avance.	Kestoa ei tiedetä ennalta.
Draft	Черновик	Entwurf	Borrador	Brouillon	Luonnos
Refined	Уточнено	Überarbeitet	Afinado	Affiné	Tarkennettu
Draft translation	Черновой перевод	Entwurfsübersetzung	Traducción borrador	Traduction brouillon	Käännösluonnos
Refined translation	Уточнённый перевод	Überarbeitete Übersetzung	Traducción afinada	Traduction affinée	Tarkennettu käännös
Saved	Сохранено	Gespeichert	Guardado	Enregistré	Tallennettu
Speech models	Модели распознавания	Sprachmodelle	Modelos de voz	Modèles vocaux	Puhemallit
Translation packs	Пакеты перевода	Übersetzungspakete	Paquetes de traducción	Packs de traduction	Käännöspaketit
No internet connection	Нет подключения к интернету	Keine Internetverbindung	Sin conexión a internet	Pas de connexion internet	Ei internet-yhteyttä
Downloaded packs still work.	Скачанные пакеты продолжают работать.	Geladene Pakete funktionieren weiter.	Los paquetes descargados siguen funcionando.	Les packs téléchargés fonctionnent toujours.	Ladatut paketit toimivat edelleen.
Help	Помощь	Hilfe	Ayuda	Aide	Ohje
Add widget	Добавить виджет	Widget hinzufügen	Añadir widget	Ajouter le widget	Lisää widget
During recording	Во время записи	Während der Aufnahme	Durante la grabación	Pendant l’enregistrement	Tallennuksen aikana
Edited	Изменено	Bearbeitet	Editado	Modifié	Muokattu
Original text	Исходный текст	Originaltext	Texto original	Texte original	Alkuperäinen teksti
Interrupted	Прервано	Unterbrochen	Interrumpido	Interrompu	Keskeytetty
Stopped	Остановлено	Gestoppt	Detenido	Arrêté	Pysäytetty
Back to notes	К заметкам	Zurück zu den Notizen	Volver a las notas	Retour aux notes	Takaisin muistiinpanoihin
Try again	Повторить попытку	Erneut versuchen	Intentar de nuevo	Réessayer	Yritä uudelleen
Prepare later	Подготовить позже	Später vorbereiten	Preparar después	Préparer plus tard	Valmistele myöhemmin
Copy failed	Не удалось скопировать	Kopieren fehlgeschlagen	Error al copiar	Échec de la copie	Kopiointi epäonnistui
System share sheet	Системное меню «Поделиться»	Systemmenü „Teilen“	Menú de compartir del sistema	Menu de partage du système	Järjestelmän jakovalikko
You choose the destination. Murmator does not send notes on its own.	Получателя выбираешь ты. Murmator не отправляет заметки сам.	Du wählst das Ziel. Murmator versendet Notizen nicht selbst.	Tú eliges el destino. Murmator no envía notas por su cuenta.	Vous choisissez la destination. Murmator n’envoie pas les notes tout seul.	Valitset kohteen itse. Murmator ei lähetä muistiinpanoja itsestään.
Automatic re-translation after editing is not implemented yet.	Автоматический повторный перевод после правки пока не реализован.	Eine automatische Neuübersetzung nach dem Bearbeiten gibt es noch nicht.	La retraducción automática tras editar aún no está implementada.	La retraduction automatique après modification n’est pas encore implémentée.	Automaattista uudelleenkäännöstä muokkauksen jälkeen ei ole vielä toteutettu.
Long text is inserted in full.	Длинный текст вставляется полностью.	Langer Text wird vollständig eingefügt.	El texto largo se inserta completo.	Le texte long est inséré en entier.	Pitkä teksti lisätään kokonaan.
Live Activity appears here while Murmator is recording.	Live Activity появляется здесь во время записи в Murmator.	Die Live-Aktivität erscheint hier, während Murmator aufnimmt.	La actividad en vivo aparece aquí mientras Murmator graba.	L’activité en direct apparaît ici pendant l’enregistrement.	Live Activity näkyy tässä, kun Murmator tallentaa.
Turn off microphone	Выключить микрофон	Mikrofon ausschalten	Desactivar micrófono	Désactiver le microphone	Sammuta mikrofoni
Hold to talk	Держи и говори	Zum Sprechen halten	Mantén pulsado para hablar	Maintenez pour parler	Puhu pitämällä painettuna
Release to insert	Отпусти, чтобы вставить	Zum Einfügen loslassen	Suelta para insertar	Relâchez pour insérer	Lisää teksti vapauttamalla
Insert text	Вставить текст	Text einfügen	Insertar texto	Insérer le texte	Lisää teksti
Insert original	Вставить оригинал	Original einfügen	Insertar original	Insérer l’original	Lisää alkuperäinen
Send	Отправить	Senden	Enviar	Envoyer	Lähetä
Could not update the keyboard. Open Murmator and try again.	Не удалось связаться с клавиатурой. Открой Murmator и повтори попытку.	Die Tastatur konnte nicht aktualisiert werden. Öffne Murmator und versuche es erneut.	No se pudo actualizar el teclado. Abre Murmator e inténtalo de nuevo.	Impossible de mettre à jour le clavier. Ouvrez Murmator et réessayez.	Näppäimistöä ei voitu päivittää. Avaa Murmator ja yritä uudelleen.
Full Access is required for keyboard dictation.	Для диктовки с клавиатуры нужен полный доступ.	Für die Tastaturdiktierfunktion ist voller Zugriff erforderlich.	El dictado con el teclado requiere acceso total.	L’accès complet est nécessaire pour dicter depuis le clavier.	Näppäimistösanelu vaatii täyden käyttöoikeuden.
The text field changed. Tap Insert text when you are ready.	Поле ввода изменилось. Нажми «Вставить текст», когда будешь готов.	Das Textfeld wurde geändert. Tippe auf „Text einfügen“, wenn du bereit bist.	El campo de texto ha cambiado. Toca Insertar texto cuando estés listo.	Le champ a changé. Touchez Insérer le texte quand vous êtes prêt.	Tekstikenttä muuttui. Napauta Lisää teksti, kun olet valmis.
Enable the microphone in Murmator	Включи микрофон в Murmator	Mikrofon in Murmator aktivieren	Activa el micrófono en Murmator	Activez le microphone dans Murmator	Ota mikrofoni käyttöön Murmatorissa
Hold the microphone while you speak. Release to insert the text.	Держи кнопку микрофона, пока говоришь. Отпусти, чтобы вставить текст.	Halte die Mikrofontaste beim Sprechen. Lass sie los, um den Text einzufügen.	Mantén pulsado el micrófono mientras hablas. Suelta para insertar el texto.	Maintenez le microphone pendant que vous parlez. Relâchez pour insérer le texte.	Pidä mikrofonipainiketta painettuna puhuessasi. Lisää teksti vapauttamalla painike.
Dictation	Диктовка	Diktieren	Dictado	Dictée	Sanelu
Enable microphone	Включить микрофон	Mikrofon aktivieren	Activar micrófono	Activer le microphone	Ota mikrofoni käyttöön
Return to your app and hold the microphone on the Murmator keyboard.	Вернись в своё приложение и держи кнопку микрофона на клавиатуре Murmator.	Kehre zu deiner App zurück und halte die Mikrofontaste auf der Murmator-Tastatur.	Vuelve a tu app y mantén pulsado el micrófono del teclado Murmator.	Revenez à votre app et maintenez le microphone du clavier Murmator.	Palaa sovellukseesi ja pidä Murmator-näppäimistön mikrofonia painettuna.
Keyboard microphone enabled	Микрофон клавиатуры включён	Tastaturmikrofon aktiviert	Micrófono del teclado activado	Microphone du clavier activé	Näppäimistön mikrofoni käytössä
Keyboard dictation	Диктовка с клавиатуры	Tastaturdiktat	Dictado con teclado	Dictée au clavier	Näppäimistösanelu
Enable the microphone here, then return to your app. Use the Murmator keyboard to start and stop dictation.	Включи микрофон здесь и вернись в своё приложение. На клавиатуре Murmator держи кнопку, пока говоришь, и отпусти для вставки текста.	Aktiviere hier das Mikrofon und kehre zu deiner App zurück. Starte und stoppe das Diktat mit der Murmator-Tastatur.	Activa aquí el micrófono y vuelve a tu app. Usa el teclado Murmator para iniciar y detener el dictado.	Activez le microphone ici, puis revenez à votre app. Utilisez le clavier Murmator pour démarrer et arrêter la dictée.	Ota mikrofoni käyttöön tässä ja palaa sovellukseesi. Aloita ja lopeta sanelu Murmator-näppäimistöllä.
Enable keyboard dictation	Включить диктовку с клавиатуры	Tastaturdiktat aktivieren	Activar dictado con teclado	Activer la dictée au clavier	Ota näppäimistösanelu käyttöön
The microphone stays enabled between phrases. Idle audio is discarded. It turns off after 5 minutes without a new recording, or 1 minute after leaving the keyboard.	Между фразами микрофон остаётся включённым, но звук не обрабатывается и не сохраняется. Он выключится через 5 минут без новой записи или через минуту после закрытия клавиатуры.	Das Mikrofon bleibt zwischen Sätzen aktiv. Audio in Pausen wird verworfen. Es schaltet sich nach 5 Minuten ohne neue Aufnahme oder 1 Minute nach Verlassen der Tastatur aus.	El micrófono sigue activo entre frases. El audio en espera se descarta. Se apaga tras 5 minutos sin grabar o 1 minuto después de salir del teclado.	Le microphone reste actif entre les phrases. Le son en attente est ignoré. Il s’éteint après 5 minutes sans nouvel enregistrement ou 1 minute après avoir quitté le clavier.	Mikrofoni pysyy käytössä lauseiden välillä. Odotusajan ääni hylätään. Se sammuu 5 minuutin kuluttua ilman uutta tallennusta tai 1 minuutin kuluttua näppäimistöstä poistumisesta.
Enable Full Access for Murmator.	Разреши полный доступ для Murmator.	Erlaube vollen Zugriff für Murmator.	Permite acceso total a Murmator.	Autorisez l’accès complet à Murmator.	Salli Murmatorille täysi käyttöoikeus.
1. Add Murmator in Settings → General → Keyboard.\n\n2. Enable Full Access for Murmator.\n\n3. Select Murmator with the globe key, enable the microphone, then hold to talk.	1. Добавь Murmator: Настройки → Основные → Клавиатура.\n\n2. Разреши полный доступ для Murmator.\n\n3. Выбери Murmator кнопкой глобуса, включи микрофон и держи кнопку, пока говоришь.	1. Füge Murmator unter Einstellungen → Allgemein → Tastatur hinzu.\n\n2. Erlaube vollen Zugriff für Murmator.\n\n3. Wähle Murmator mit der Globustaste, aktiviere das Mikrofon und halte zum Sprechen.	1. Añade Murmator en Ajustes → General → Teclado.\n\n2. Permite acceso total a Murmator.\n\n3. Elige Murmator con el globo, activa el micrófono y mantén pulsado para hablar.	1. Ajoutez Murmator dans Réglages → Général → Clavier.\n\n2. Autorisez l’accès complet à Murmator.\n\n3. Choisissez Murmator avec le globe, activez le microphone et maintenez pour parler.	1. Lisää Murmator kohdassa Asetukset → Yleiset → Näppäimistö.\n\n2. Salli Murmatorille täysi käyttöoikeus.\n\n3. Valitse Murmator maapallopainikkeella, ota mikrofoni käyttöön ja puhu pitämällä painettuna.
No speech detected. Hold the microphone and try again.	Речь не обнаружена. Зажми микрофон и попробуй ещё раз.	Keine Sprache erkannt. Halte die Mikrofontaste und versuche es erneut.	No se detectó voz. Mantén pulsado el micrófono e inténtalo de nuevo.	Aucune parole détectée. Maintenez le microphone et réessayez.	Puhetta ei havaittu. Pidä mikrofonia painettuna ja yritä uudelleen.
Open Murmator	Открыть Murmator	Murmator öffnen	Abrir Murmator	Ouvrir Murmator	Avaa Murmator
Open Murmator to finish preparation.	Открой Murmator, чтобы завершить подготовку.	Öffne Murmator, um die Vorbereitung abzuschließen.	Abre Murmator para terminar la preparación.	Ouvrez Murmator pour terminer la préparation.	Avaa Murmator viimeistelläksesi valmistelun.
Prepare dictation	Подготовить диктовку	Diktat vorbereiten	Preparar dictado	Préparer la dictée	Valmistele sanelu
Ready to dictate	Можно диктовать	Bereit zum Diktieren	Listo para dictar	Prêt à dicter	Valmis sanelemaan
Load models and enable dictation in Murmator	Загрузите модели и включите диктовку в Murmator	Modelle laden und Diktat in Murmator aktivieren	Carga los modelos y activa el dictado en Murmator	Chargez les modèles et activez la dictée dans Murmator	Lataa mallit ja ota sanelu käyttöön Murmatorissa
Could not load dictation models.	Не удалось загрузить модели диктовки.	Diktiermodelle konnten nicht geladen werden.	No se pudieron cargar los modelos de dictado.	Impossible de charger les modèles de dictée.	Sanelumallien lataaminen epäonnistui.
Prepare the models here, then return to your app while loading finishes. The keyboard shows when dictation is ready.	Начните загрузку моделей здесь и возвращайтесь в своё приложение. Клавиатура покажет, когда можно диктовать.	Bereiten Sie hier die Modelle vor und kehren Sie während des Ladens zu Ihrer App zurück. Die Tastatur zeigt an, sobald das Diktat bereit ist.	Prepara los modelos aquí y vuelve a tu app mientras terminan de cargar. El teclado mostrará cuándo puedes dictar.	Préparez les modèles ici, puis revenez à votre app pendant le chargement. Le clavier indique quand la dictée est prête.	Valmistele mallit tässä ja palaa sovellukseesi latauksen ajaksi. Näppäimistö ilmoittaa, kun sanelu on valmis.
End session & unload models	Завершить и выгрузить модели	Sitzung beenden und Modelle entladen	Finalizar y descargar de memoria	Terminer et libérer les modèles	Lopeta ja vapauta mallit
Memory	Память	Arbeitsspeicher	Memoria	Mémoire	Muisti
Manage loaded models	Управление моделями в памяти	Geladene Modelle verwalten	Gestionar modelos cargados	Gérer les modèles chargés	Hallitse ladattuja malleja
Models loaded	Модели в памяти	Modelle geladen	Modelos en memoria	Modèles en mémoire	Mallit muistissa
Models unloaded	Модели выгружены	Modelle entladen	Modelos fuera de memoria	Modèles libérés	Mallit vapautettu
Unload speech and translation models to release memory. Downloaded language packs and notes stay on this iPhone.	Выгрузите модели речи и перевода, чтобы освободить память. Скачанные языковые пакеты и заметки останутся на iPhone.	Entladen Sie Sprach- und Übersetzungsmodelle, um Speicher freizugeben. Heruntergeladene Sprachpakete und Notizen bleiben auf diesem iPhone.	Libera los modelos de voz y traducción para recuperar memoria. Los paquetes descargados y las notas se conservan en este iPhone.	Libérez les modèles vocaux et de traduction pour récupérer de la mémoire. Les langues téléchargées et les notes restent sur cet iPhone.	Vapauta puhe- ja käännösmallit muistista. Ladatut kielipaketit ja muistiinpanot säilyvät tässä iPhonessa.
Finish recording or preparation before unloading models.	Завершите запись или подготовку, чтобы выгрузить модели.	Beenden Sie die Aufnahme oder Vorbereitung, bevor Sie Modelle entladen.	Termina la grabación o preparación antes de liberar los modelos.	Terminez l’enregistrement ou la préparation avant de libérer les modèles.	Lopeta tallennus tai valmistelu ennen mallien vapauttamista.
Unloading models…	Выгружаем модели…	Modelle werden entladen…	Liberando modelos…	Libération des modèles…	Vapautetaan malleja…
Unload models	Выгрузить модели	Modelle entladen	Liberar modelos	Libérer les modèles	Vapauta mallit
The next session loads the models again. You will not need to download them again.	При следующем запуске модели снова загрузятся в память. Повторно скачивать их не нужно.	Die nächste Sitzung lädt die Modelle erneut in den Speicher. Ein erneuter Download ist nicht nötig.	La próxima sesión volverá a cargar los modelos en memoria. No tendrás que descargarlos de nuevo.	La prochaine session rechargera les modèles en mémoire. Aucun nouveau téléchargement ne sera nécessaire.	Seuraava istunto lataa mallit takaisin muistiin. Niitä ei tarvitse ladata verkosta uudelleen.
Last update	Обновлено	Aktualisiert	Actualizado	Mis à jour	Päivitetty
Dictate	Диктовка	Diktieren	Dictar	Dicter	Sanele
Record	Запись	Aufnehmen	Grabar	Enregistrer	Tallenna
Unload	Выгрузить	Entladen	Liberar	Libérer	Vapauta
Murmator controls	Управление Murmator	Murmator-Steuerung	Controles de Murmator	Commandes Murmator	Murmator-ohjaimet
Start dictation, translate, unload models, or change your languages. Controls open Murmator.	Диктуйте, переводите, выгружайте модели и выбирайте языки. Действия открывают Murmator.	Diktieren, übersetzen, Modelle entladen oder Sprachen ändern. Die Aktionen öffnen Murmator.	Dicta, traduce, libera modelos o cambia de idioma. Los controles abren Murmator.	Dictez, traduisez, libérez les modèles ou changez de langue. Les commandes ouvrent Murmator.	Sanele, käännä, vapauta mallit tai vaihda kieliä. Toiminnot avaavat Murmatorin.
Languages	Языки	Sprachen	Idiomas	Langues	Kielet
Import audio	Импорт аудио	Audio importieren	Importar audio	Importer un audio	Tuo ääni
Audio imports	Импорт аудио	Audioimporte	Audios importados	Audios importés	Tuodut äänet
Transcribe a recording	Расшифровать запись	Aufnahme transkribieren	Transcribir una grabación	Transcrire un enregistrement	Litteroi tallenne
Audio is processed on this iPhone in short sections, split at pauses. Keep Murmator open; completed text is saved as it goes.	Аудио обрабатывается на iPhone короткими фрагментами с разделением по паузам. Оставьте Murmator открытым — готовый текст сохраняется по ходу работы.	Audio wird auf diesem iPhone in kurzen Abschnitten an Sprechpausen verarbeitet. Lassen Sie Murmator geöffnet; fertiger Text wird fortlaufend gespeichert.	El audio se procesa en este iPhone en fragmentos cortos separados por pausas. Mantén Murmator abierto; el texto se guarda a medida que avanza.	L’audio est traité sur cet iPhone en courts segments séparés aux pauses. Gardez Murmator ouvert ; le texte est enregistré au fur et à mesure.	Ääni käsitellään tässä iPhonessa lyhyinä, tauoista jaettuina osina. Pidä Murmator auki; valmis teksti tallennetaan työn edetessä.
Importing audio…	Импортируем аудио…	Audio wird importiert…	Importando audio…	Importation de l’audio…	Tuodaan ääntä…
Preparing transcription…	Готовим распознавание…	Transkription wird vorbereitet…	Preparando transcripción…	Préparation de la transcription…	Valmistellaan litterointia…
Transcribing audio…	Расшифровываем аудио…	Audio wird transkribiert…	Transcribiendo audio…	Transcription de l’audio…	Litteroidaan ääntä…
Pausing…	Приостанавливаем…	Wird angehalten…	Pausando…	Mise en pause…	Keskeytetään…
Pause	Пауза	Pause	Pausar	Pause	Keskeytä
Paused. Continue when you are ready.	На паузе. Продолжите, когда будете готовы.	Angehalten. Setzen Sie fort, wenn Sie bereit sind.	En pausa. Continúa cuando quieras.	En pause. Reprenez quand vous le souhaitez.	Keskeytetty. Jatka, kun olet valmis.
Transcribe	Расшифровать	Transkribieren	Transcribir	Transcrire	Litteroi
Continue transcription	Продолжить расшифровку	Transkription fortsetzen	Continuar transcripción	Reprendre la transcription	Jatka litterointia
No speech detected in this file.	В этом файле не обнаружена речь.	In dieser Datei wurde keine Sprache erkannt.	No se detectó voz en este archivo.	Aucune parole détectée dans ce fichier.	Tiedostosta ei havaittu puhetta.
Transcription saved	Расшифровка сохранена	Transkription gespeichert	Transcripción guardada	Transcription enregistrée	Litterointi tallennettu
